jhstop‚Ì–½—ß—ñ,ƒIƒŠƒWƒiƒ‹,Opaque,ppl
<code> <code> <code> <code> bipush,,38,136.313
<code> <code> <code> bipush istore,,38,1838.64
<code> <code> bipush istore aload,,26,6541.66
irem iconst0 ifIcmpne aload getfield,,15,15394.6
dup dup dup imul imul,,14,4.24E+06
dup dup imul imul isub,,14,874418
dup imul imul isub iconst3,,14,348582
iload dup dup dup imul,,14,1.01E+07
imul imul isub iconst3 irem,,14,71030.7
imul isub iconst3 irem iconst0,,14,140356
isub iconst3 irem iconst0 ifIcmpne,,14,43332.9
aload getfield aload getfield invokevirtual,13,13,828.779
aload getfield getstatic invokevirtual aload,13,13,3610.18
getfield getstatic invokevirtual aload getfield,13,13,3331.03
<code> bipush istore aload aload,,12,12582
dup iconst1 iadd imul iconst2,,12,120417
iadd imul iconst2 irem iconst0,,12,35696.1
iconst1 iadd imul iconst2 irem,,12,27465.7
iload dup iconst1 iadd imul,,12,123396
imul iconst2 irem iconst0 ifIcmpne,,12,23248.1
iconst2 irem iconst0 ifIcmpne aload,,11,37571.4
invokevirtual aload getfield aload invokevirtual,11,11,1320.98
<code> bipush istore aload getfield,,10,5308.05
iconst3 irem iconst0 ifIcmpne aload,,10,152661
aconstNull putfield aload aconstNull putfield,9,9,2764.34
aload aconstNull putfield aload aconstNull,9,9,15965.8
aload getfield aload invokevirtual aload,9,9,1223.16
dup imul iconst2 idiv iconst2,,9,182410
getstatic invokevirtual aload getfield aload,9,9,6338.22
iconst2 idiv iconst2 irem iconst0,,9,13055.1
idiv iconst2 irem iconst0 ifIcmpne,,9,16025.5
iload dup imul iconst2 idiv,,9,511183
imul iconst2 idiv iconst2 irem,,9,19205.8
invokevirtual aload getfield getstatic invokevirtual,9,9,5472.69
putfield aload aconstNull putfield aload,9,9,4025.87
getfield aload invokevirtual aload getfield,8,8,1847.19
newInsn dup ldc invokespecial aload,8,8,6298.49
<code> <code> <code> <code> aload,33,7,61.1882
iconst0 istore gotoInsn aload getfield,7,7,3530.13
iinc iload aload getfield invokevirtual,7,7,1838.72
invokespecial putfield aload newInsn dup,7,7,2923.1
invokespecial putstatic newInsn dup ldc,7,7,6439.54
istore gotoInsn aload getfield iload,7,7,5540.52
aload getfield invokevirtual pop aload,6,6,2055.38
aload invokevirtual aload getfield getstatic,6,6,10293.1
aload invokevirtual getstatic invokevirtual ifAcmpne,6,6,6906.86
getfield aload getfield invokevirtual pop,6,6,1827.87
getstatic invokevirtual ifAcmpne iload dup,,6,666720
gotoInsn aload invokevirtual getstatic invokevirtual,6,6,9877.63
ifeq iload dup dup dup,,6,1.24E+06
invokevirtual getstatic invokevirtual ifAcmpne iload,,6,73460.2
invokevirtual gotoInsn aload invokevirtual getstatic,6,6,8054.37
putfield aload newInsn dup ldc,6,6,5614.11
<code> <code> bipush istore ldc,,5,9223.13
<code> bipush istore ldc invokestatic,,5,17380.8
aload getfield invokevirtual gotoInsn aload,5,5,3114.66
aload getfield invokevirtual ifIcmplt iload,1,5,29204.5
aload invokevirtual ifeq iload dup,,5,13644.1
aload newInsn dup ldc ldc,5,5,55564.7
bipush istore aload getfield areturn,,5,14157.7
dup ldc invokespecial aload invokevirtual,5,5,7208.88
getfield invokevirtual gotoInsn aload invokevirtual,5,5,7083.27
getfield invokevirtual ifIcmplt iload dup,,5,118788
getfield invokevirtual pop aload getfield,5,5,3129.19
getstatic invokespecial putfield aload newInsn,5,5,5805.15
gotoInsn aload getfield iload invokevirtual,5,5,1382.01
iload aload getfield invokevirtual ifIcmplt,5,5,1563.92
invokevirtual gotoInsn aload getfield aload,5,5,2846.99
invokevirtual gotoInsn astore aload invokevirtual,5,5,7975.22
invokevirtual ifeq iload dup dup,,5,159911
invokevirtual pop aload getfield aload,5,5,3071.59
pop aload getfield aload getfield,5,5,2479.7
<code> <code> <code> aload aload,16,4,1995.81
aload getfield aload invokevirtual ifeq,4,4,1297.82
aload getfield iload invokevirtual checkcast,4,4,5897.22
aload getfield invokevirtual gotoInsn astore,4,4,7860.9
aload invokevirtual aload getfield aload,4,4,3988.1
aload invokevirtual aload getfield invokevirtual,4,4,1392.95
aload invokevirtual invokevirtual invokevirtual invokestatic,4,4,7594.22
astore iinc iload aload getfield,4,4,10212.5
bipush invokespecial putstatic newInsn dup,4,4,11308.7
bipush istore aload aload getfield,,4,7799.74
bipush istore aload aload putfield,,4,19801.9
getfield aload invokevirtual ifeq iload,,4,19708.1
getfield iload invokevirtual checkcast astore,4,4,5629.75
gotoInsn astore aload invokevirtual gotoInsn,4,4,5048.73
gotoInsn astore iinc iload aload,4,4,20399.3
iconst0 getstatic invokespecial putfield aload,4,4,25495.6
iconst0 ifIcmpne aload getfield aload,,4,10200.4
iconst0 ifIcmpne aload getfield invokevirtual,,4,5177.42
ifeq iload dup iconst1 iadd,,4,25894.2
ifIcmplt iload dup imul iconst2,,4,1.45E+06
ifIcmpne aload getfield invokevirtual gotoInsn,,4,3783.95
invokespecial aload aconstNull putfield aload,4,4,5056.04
invokevirtual aload invokevirtual invokevirtual invokevirtual,4,4,2152.74
invokevirtual ifIcmplt iload dup imul,,4,1.27E+06
istore iconst0 istore gotoInsn aload,3,4,5160.98
ldc invokespecial aload invokevirtual invokevirtual,4,4,2737.91
ldc invokevirtual aload invokevirtual invokevirtual,4,4,1855.92
ldc putstatic ldc putstatic ldc,4,4,9022.68
newInsn dup ldc ldc bipush,4,4,28640.8
putstatic ldc putstatic ldc putstatic,4,4,2710.55
<code> <code> <code> <code> ldc,8,3,120.587
<code> <code> <code> aload invokespecial,4,3,920.721
<code> <code> <code> ldc putstatic,3,3,1562.38
<code> <code> aload aload aload,6,3,8318.83
<code> <code> bipush istore newInsn,,3,1131.85
<code> bipush istore newInsn dup,,3,9632.14
aload aload getfield iconst1 invokestatic,3,3,9168.53
aload getfield iconst1 invokestatic putfield,3,3,6042.41
aload getfield iload invokevirtual iinc,3,3,7342.55
aload iconst0 aload arraylength invokevirtual,3,3,8337.33
aload invokevirtual getstatic invokevirtual invokevirtual,3,3,4835.74
aload invokevirtual invokestatic aload getfield,3,3,3790.15
aload invokevirtual invokestatic invokespecial ldc,3,3,18237.7
aload newInsn dup ldc invokespecial,3,3,4536.16
astore aload invokevirtual aload getfield,3,3,2515.07
astore aload invokevirtual invokestatic aload,3,3,7790.44
bipush istore aload aload aload,,3,42131
dup aload invokevirtual invokestatic invokespecial,3,3,4524.71
dup ldc bipush bipush invokespecial,3,3,12832.7
dup ldc invokespecial putfield aload,3,3,8777.79
dup ldc ldc bipush iconst0,3,3,44853.7
getfield aload getfield invokevirtual gotoInsn,3,3,2599.14
getfield aload getfield invokevirtual returnInsn,3,3,1228.89
getfield iconst1 invokestatic putfield gotoInsn,3,3,12602.2
getfield iload invokevirtual iinc iload,3,3,15929.8
getfield invokevirtual gotoInsn astore aload,3,3,6547.05
getstatic invokevirtual aload getfield getstatic,3,3,10281.7
getstatic invokevirtual invokevirtual ifne iload,,3,21523.5
gotoInsn astore aload invokevirtual aload,3,3,1548.26
gotoInsn astore aload invokevirtual invokestatic,3,3,12939.3
gotoInsn astore aload invokevirtual returnInsn,3,3,1307.25
iconst0 ifIcmpne aload getfield iload,,3,19632.5
iconst1 invokestatic putfield gotoInsn astore,3,3,23525.1
iconst1 istore gotoInsn astore iinc,3,3,12277
ifAcmpne iload dup dup dup,,3,7.84E+06
ifAcmpne iload dup iconst1 iadd,,3,289985
ifIcmpne aload getfield iload invokevirtual,,3,2115.51
ifne iload dup dup dup,,3,1.06E+06
iload invokevirtual iinc iload aload,3,3,21216.6
invokespecial astore aload getstatic invokevirtual,3,3,8712.37
invokespecial ldc invokevirtual aload invokevirtual,3,3,3318.86
invokespecial putfield aload getfield getstatic,3,3,10973.6
invokestatic aload getfield invokestatic returnInsn,3,3,2366.7
invokestatic invokespecial ldc invokevirtual aload,3,3,5636.64
invokestatic putfield gotoInsn astore aload,3,3,9614.05
invokevirtual aload invokeinterface invokevirtual invokevirtual,3,3,3700.52
invokevirtual getstatic invokevirtual invokevirtual ifne,3,3,10835.1
invokevirtual ifAcmpne iload dup dup,,3,2.58E+06
invokevirtual ifAcmpne iload dup iconst1,,3,1.28E+06
invokevirtual ifeq iload dup iconst1,,3,23024.4
invokevirtual iinc iload aload getfield,3,3,7512.07
invokevirtual invokestatic aload getfield invokestatic,3,3,2491.55
invokevirtual invokestatic invokespecial ldc invokevirtual,3,3,13924.1
invokevirtual invokevirtual ifne iload dup,,3,40258.2
irem iconst0 ifIcmpne aload aload,,3,29100.1
irem iconst0 ifIcmpne gotoInsn astore,,3,113164
irem iconst0 ifIcmpne newInsn dup,,3,45920.1
istore aload aload aload invokevirtual,,3,6423.96
istore aload aload getfield iconst1,,3,11294.3
istore gotoInsn astore iinc iload,3,3,18677
ldc bipush bipush invokespecial putstatic,3,3,5771.41
ldc bipush iconst0 getstatic invokespecial,3,3,10410.3
ldc invokespecial putfield aload getfield,3,3,6687.33
ldc ldc bipush iconst0 getstatic,3,3,30888.2
newInsn dup aload invokevirtual invokestatic,3,3,9526.6
newInsn dup ldc bipush bipush,3,3,26548.6
newInsn dup ldc invokespecial putfield,3,3,6202.82
putfield aload aload putfield aload,3,3,3295.52
putfield aload getfield getstatic invokevirtual,3,3,5862.14
putfield gotoInsn astore aload invokevirtual,3,3,11537.7
putstatic newInsn dup ldc bipush,3,3,11574.1
putstatic newInsn dup ldc iconst1,3,3,6961.32
<code> <code> aload invokespecial aload,3,2,4545.75
<code> <code> bipush istore returnInsn,,2,11895.9
<code> <code> ldc putstatic returnInsn,2,2,1476.69
<code> aload aload aload aload,2,2,5625.98
<code> aload invokespecial aload aconstNull,2,2,5480.2
<code> bipush istore aload iload,,2,12952.2
aconstNull invokevirtual pop aload getfield,2,2,4874.48
aconstNull putfield aload iconstM1 putfield,2,2,3562.75
aload aconstNull putfield aload aload,2,2,3883.84
aload aconstNull putfield aload iconstM1,2,2,26450.2
aload aload aload aload aload,2,2,9026.96
aload aload aload aload getstatic,2,2,23946.6
aload aload aload getstatic invokespecial,2,2,4540.99
aload aload getfield aload iconst0,2,2,8120.08
aload aload getfield invokevirtual returnInsn,2,2,1194.51
aload aload getstatic invokespecial aload,2,2,6633.39
aload aload invokevirtual aload getfield,2,2,1929.22
aload aload putfield aload aload,2,2,2501.64
aload aload putfield newInsn dup,2,2,10074.1
aload arraylength invokevirtual invokeinterface gotoInsn,2,2,13136.6
aload getfield aload getfield aload,2,2,4301.92
aload getfield aload iconst0 aload,2,2,21145.4
aload getfield aload invokevirtual pop,2,2,3407.67
aload getfield aload ldc invokespecial,2,2,6559.39
aload getfield iconst0 invokevirtual gotoInsn,2,2,6269.79
aload getfield iconst1 invokevirtual gotoInsn,2,2,7603.37
aload getfield iload iload iadd,2,2,5114.57
aload getfield invokestatic returnInsn newInsn,2,2,1858.72
aload getfield invokevirtual ifIcmple iload,,2,18797.4
aload getfield invokevirtual invokevirtual invokevirtual,2,2,2541.44
aload getfield ldc aconstNull invokevirtual,2,2,12054.9
aload getstatic invokespecial aload newInsn,2,2,2994.05
aload getstatic invokevirtual aload aload,2,2,3918.44
aload getstatic invokevirtual aload getstatic,2,2,9713.8
aload iconst0 iload invokespecial astore,2,2,8993.6
aload iconst0 invokevirtual istore iconst1,2,2,25179.1
aload invokeinterface gotoInsn astore iinc,2,2,13931.4
aload invokeinterface ifge iload dup,,2,53598.2
aload invokeinterface invokevirtual invokevirtual invokestatic,2,2,13497.7
aload invokespecial aload aconstNull putfield,2,2,3002.84
aload invokespecial aload getfield aload,2,2,3281.09
aload invokevirtual gotoInsn astore aload,2,2,5040.61
aload invokevirtual invokevirtual invokestatic returnInsn,2,2,2293.18
aload ldc invokespecial putfield aload,2,2,10975.8
aload newInsn dup aload getfield,2,2,3743.61
aload putfield aload aload putfield,2,2,2841.71
aload putfield newInsn dup ldc,2,2,15042.1
arraylength invokevirtual invokeinterface gotoInsn astore,2,2,24311.4
astore aload getstatic invokevirtual aload,2,2,3327.01
astore aload invokeinterface gotoInsn astore,2,2,9351.58
astore aload invokevirtual gotoInsn aload,2,2,4239.22
astore aload invokevirtual gotoInsn astore,2,2,6927.59
astore iconst0 istore iconst1 istore,2,2,6224.2
astore iinc iload ifeq iload,,2,29408
astore newInsn dup ldc invokespecial,2,2,5408.73
bipush bipush invokespecial putstatic newInsn,2,2,2357.86
bipush iconst0 getstatic invokespecial astore,2,2,29599.1
bipush iconst0 getstatic invokespecial putfield,2,2,15693.9
bipush istore aload getfield invokevirtual,,2,4461.55
bipush istore aload getfield ireturn,,2,38509.7
bipush istore aload iload putfield,,2,7362.63
bipush istore ldc invokestatic aload,,2,14464.3
bipush istore ldc invokestatic iconst0,,2,64747.4
bipush istore newInsn dup ldc,,2,16579.5
bipush newarray astore iconst0 istore,2,2,11159.8
checkcast astore aload invokeinterface gotoInsn,2,2,7945.89
dup aload getfield aload getfield,2,2,2179.74
dup aload iconst0 iload invokespecial,2,2,4530.62
dup aload invokeinterface invokestatic invokespecial,2,2,6115.5
dup ldc iconst1 bipush invokespecial,2,2,13156.8
dup ldc invokespecial aload getfield,2,2,3290.04
dup ldc ldc sipush iconst0,2,2,84794.2
getfield aload getfield aload ldc,2,2,12781.4
getfield aload iconst0 aload arraylength,2,2,21677.7
getfield aload ldc invokespecial putfield,2,2,11521.7
