Zalcalの命令列,オリジナル,不明,ppl
aload getfield ldc invokevirtual pop,110,110,2470.75
getfield ldc invokevirtual pop aload,110,110,2798.29
invokevirtual pop aload getfield ldc,109,109,7510.92
ldc invokevirtual pop aload getfield,109,109,3130.42
pop aload getfield ldc invokevirtual,109,109,3403.26
<code> <code> <code> <code> aload,39,36,61.1882
newInsn dup aload invokestatic invokespecial,15,15,5868.85
<code> <code> <code> aload aload,12,12,1995.81
dup2X2 lxor lconst1 lneg bipush,,12,1.13E+06
invokevirtual checkcast invokevirtual ldc invokevirtual,12,12,7394.42
invokevirtual ldc invokevirtual invokevirtual astore,12,12,5395.67
lload dup2X2 lxor lconst1 lneg,,12,536547
<code> <code> <code> aload getfield,12,10,659.436
<code> <code> <code> aload invokespecial,10,10,920.721
checkcast invokevirtual ldc invokevirtual invokevirtual,10,10,10910.7
dup aload invokestatic invokespecial aload,10,10,5172.48
ldc invokevirtual invokevirtual astore aload,8,8,4144.03
<code> <code> aload aload invokespecial,7,7,1343.11
aload getfield aload invokevirtual invokevirtual,7,7,1864.69
putfield aload aconstNull putfield aload,7,7,4025.87
putfield aload iconst0 putfield aload,7,7,4820.19
<code> aload aload invokespecial dstore,6,6,2580.54
aload aload aload invokespecial putfield,6,6,3837.35
aload aload invokespecial dstore iconst0,6,6,4117.44
aload getfield aload invokevirtual aload,6,6,1223.16
aload invokespecial dstore iconst0 istore,6,6,12177.2
aload invokestatic invokespecial aload getfield,6,6,4401.53
aload invokevirtual invokevirtual checkcast invokevirtual,6,6,4672.49
astore newInsn dup aload invokestatic,6,6,3455.48
bipush lshl land lxor lstore,,6,153680
bipush lshl lload dup2X2 lxor,,6,550928
bipush lushr land lxor lstore,,6,52136.3
dcmpg ifge dload ldc dmul,6,6,9911.71
dconst0 dcmpg ifge dload ldc,6,6,9708.32
dload dconst0 dcmpg ifge dload,6,6,5763.22
dload ldc dmul dstore iconst1,6,6,9503.11
dmul dstore iconst1 istore dload,6,6,20187.2
dstore iconst0 istore dload dconst0,6,6,7862.77
dstore iconst1 istore dload ldc,6,6,15823.9
getfield aload invokevirtual invokevirtual checkcast,6,6,4473.34
i2l bipush lshl lload dup2X2,,6,45181.9
i2l lload dup2X2 lxor lconst1,,6,1.02E+06
iconst0 istore dload dconst0 dcmpg,6,6,1033.69
iconst1 istore dload ldc ddiv,6,6,6298.09
ifge dload ldc dmul dstore,6,6,6176.84
invokespecial aload getfield aload invokevirtual,6,6,2015.29
invokespecial dstore iconst0 istore dload,6,6,20150.5
invokestatic invokespecial aload getfield aload,6,6,6464.12
invokevirtual astore aload invokevirtual l2i,6,6,7939.64
invokevirtual astore newInsn dup aload,6,6,5354.24
invokevirtual invokevirtual astore aload invokevirtual,6,6,10403.6
invokevirtual invokevirtual checkcast invokevirtual ldc,6,6,22150.8
istore dload dconst0 dcmpg ifge,6,6,2851.06
lconst1 lneg bipush lshl land,,6,283836
lconst1 lneg bipush lushr land,,6,96291.9
ldc dmul dstore iconst1 istore,6,6,15781
lneg bipush lshl land lxor,,6,403279
lneg bipush lushr land lxor,,6,136813
lshl lload dup2X2 lxor lconst1,,6,1.04E+06
lxor lconst1 lneg bipush lshl,,6,310802
lxor lconst1 lneg bipush lushr,,6,175855
putfield aload aload aload invokespecial,6,6,2787.53
<code> <code> aload aload putfield,5,5,2995.8
<code> <code> aload invokespecial aload,5,5,4545.75
<code> <code> aload invokespecial returnInsn,5,5,1997.08
aconstNull putfield aload aconstNull putfield,5,5,2764.34
aload aconstNull putfield aload aconstNull,5,5,15965.8
aload aload getfield aload invokevirtual,5,5,1454.96
aload aload invokespecial putfield aload,5,5,6446.24
aload invokespecial putfield aload aload,5,5,4064.73
aload invokestatic invokespecial ldc invokevirtual,5,5,12274
drem dstore iload ifne dload,5,5,16311.7
dup aload invokestatic invokespecial ldc,5,5,11997.3
invokespecial putfield aload aload aload,5,5,22393
invokespecial putfield aload newInsn dup,5,5,2923.1
invokestatic invokespecial aload invokevirtual invokevirtual,5,5,3510.03
invokevirtual invokevirtual astore newInsn dup,5,5,3568.14
ldc drem dstore iload ifne,5,5,19281.3
ldc invokevirtual invokevirtual astore newInsn,5,5,3437.46
putfield aload aload getfield aload,5,5,5681.43
<code> <code> <code> <code> lconst1,,4,105.471
<code> <code> <code> lconst1 lstore,,4,2296.16
<code> <code> aload getfield invokevirtual,5,4,1458.1
<code> aload aload putfield aload,4,4,1896.75
aload invokestatic invokespecial aload invokevirtual,4,4,6915.64
aload invokevirtual invokevirtual aload getfield,4,4,2639.5
aload invokevirtual l2i bipush irem,4,4,6123.17
aload newInsn dup bipush invokespecial,4,4,4470.94
aload newInsn dup invokespecial putfield,4,4,1876.84
astore aload invokevirtual l2i bipush,4,4,12622.2
dload ldc drem dstore iload,4,4,16369.4
dstore dload ldc drem dstore,4,4,4424.62
dup bipush invokespecial putfield aload,4,4,11341.4
invokespecial aload invokevirtual invokevirtual aload,4,4,2978.5
invokespecial putfield aload getfield iconst0,4,4,11235.9
istore dload ldc ddiv dstore,4,4,7365.4
land lxor lstore newInsn dup,,4,115295
ldc ddiv dstore dload ldc,4,4,12836.7
lload bipush lshr l2i invokevirtual,,4,5365.73
lstore newInsn dup aload invokestatic,,4,10491.9
lxor lstore newInsn dup aload,,4,25470.1
newInsn dup bipush invokespecial putfield,4,4,5386.43
newInsn dup invokespecial putfield aload,4,4,4572.36
putfield aload getfield iconst0 invokevirtual,4,4,6700.69
<code> <code> aload getfield ireturn,3,3,2241.32
<code> <code> aload getfield lreturn,3,3,2159.64
<code> <code> lconst1 lstore aload,,3,9527.63
aload aload putfield aload invokespecial,3,3,5194.19
aload getfield iconst0 invokevirtual aload,3,3,3081.56
aload iconst0 putfield aload iconst0,3,3,13018.3
aload iconst2 putfield aload aload,3,3,5566.46
aload invokespecial aload aload putfield,3,3,4423.91
aload ldc invokevirtual ifeq aload,3,3,3633.08
bipush invokespecial putfield aload newInsn,3,3,4752.17
ddiv dstore dload ldc drem,3,3,5845.03
dload ldc ddiv dstore dload,3,3,15583.3
dload ldc dsub dsub invokestatic,3,3,10369.3
dstore iload ifne dload ldc,3,3,20657.6
dup newInsn dup ldc invokespecial,3,3,5182.51
getfield iconst0 invokevirtual aload newInsn,3,3,3209.78
iconst0 invokevirtual aload newInsn dup,3,3,4962.47
iconst0 putfield aload iconst0 putfield,3,3,6177.22
iconst2 putfield aload aload getfield,3,3,8279.07
ifne dload ldc dadd invokestatic,3,3,41866.9
iload ifne dload ldc dadd,3,3,9683.19
invokespecial aload aload putfield returnInsn,3,3,2294.96
invokespecial ldc invokevirtual invokevirtual astore,3,3,7057.2
invokestatic invokespecial ldc invokevirtual invokevirtual,3,3,6252.09
invokevirtual aload newInsn dup invokespecial,3,3,11233
ldc dload ldc dsub dsub,3,3,5428.07
newInsn dup invokespecial astore aload,3,3,3942.03
newInsn dup ldc invokespecial aload,3,3,6298.49
newInsn dup newInsn dup ldc,3,3,9296.05
putfield aload iconst2 putfield aload,3,3,5089.91
putfield aload lconst0 putfield aload,3,3,4904.81
putfield aload ldc putfield aload,3,3,4133.75
putfield aload newInsn dup bipush,3,3,11300.8
<code> <code> <code> <code> invokestatic,2,2,83.1709
<code> <code> <code> <code> newInsn,3,2,64.943
<code> <code> <code> aload invokevirtual,2,2,1086.85
<code> <code> <code> newInsn dup,3,2,1005.07
<code> aload getfield invokevirtual returnInsn,2,2,648.371
<code> aload invokespecial aload aload,2,2,2278.46
<code> aload invokespecial aload newInsn,2,2,1528.7
<code> lconst1 lstore aload getfield,,2,7895.66
aload aload putfield aload aload,2,2,2501.64
aload bipush lload bipush lshr,,2,5134.53
aload getfield aload getfield invokevirtual,2,2,828.779
aload getfield ifnull aload getfield,2,2,2478.75
aload getfield iload invokevirtual checkcast,4,2,5897.22
aload getfield invokevirtual checkcast invokevirtual,2,2,3876.09
aload getfield invokevirtual ldc invokevirtual,2,2,4631.73
aload getfield lload bipush lshr,,2,4654.4
aload getfield lload l2i invokevirtual,,2,8209.92
aload getfield newInsn dup aload,2,2,6336.55
aload iconst1 putfield aload ldc,2,2,22413.5
aload iconst3 putfield aload aload,2,2,6141.96
aload iload newInsn dup newInsn,2,2,1237.2
aload invokespecial aload aconstNull putfield,2,2,3002.84
aload invokespecial aload newInsn dup,2,2,4005.7
aload invokespecial astore aload invokevirtual,2,2,7794.03
aload invokevirtual aload getfield invokevirtual,2,2,1392.95
aload invokevirtual aload iconst0 putfield,2,2,6351.98
aload invokevirtual aload iconst1 putfield,2,2,3405.64
aload invokevirtual l2i i2l bipush,,2,87048.9
aload invokevirtual ldc invokevirtual ifeq,2,2,1093.18
aload lconst0 putfield aload lconst0,2,2,19474.7
aload newInsn dup invokespecial invokevirtual,2,2,2152.17
aload newInsn dup ldc invokespecial,2,2,4536.16
aload putfield aload invokespecial returnInsn,2,2,2262.27
astore aload getfield aload invokevirtual,2,2,1329.08
astore aload invokevirtual astore aload,2,2,2555.06
astore aload invokevirtual l2i i2l,,2,25418.1
astore aload ldc invokevirtual ifeq,2,2,892.629
astore gotoInsn aload invokevirtual ldc,2,2,8265.06
astore iconst0 i2l bipush lshl,,2,241723
astore newInsn dup aload invokespecial,2,2,3719.21
bipush bipush bipush bipush iconst0,2,2,47044.7
bipush irem i2l lload dup2X2,,2,172821
bipush irem istore newInsn dup,4,2,18229.8
bipush lload bipush lshr l2i,,2,7158.22
bipush lshr l2i iconst1 isub,,2,10852.7
bipush lshr l2i invokevirtual ldc,,2,27987.6
checkcast invokevirtual ldc invokevirtual lload,,2,30241.1
d2l ldc lrem lconst1 ladd,2,2,8914.6
dload dsub ldc drem invokestatic,2,2,10696
dload ldc ddiv dstore ldc,2,2,14444.6
drem d2l lconst1 ladd lreturn,2,2,4927.07
dstore iload ifne dload invokestatic,2,2,25638.2
dsub ldc drem invokestatic d2i,2,2,7481.03
dup aload invokespecial astore aload,2,2,4037.2
dup invokespecial putfield aload getfield,2,2,4979.27
dup ldc invokespecial aload invokevirtual,2,2,7208.88
dup ldc invokespecial putfield aload,2,2,8777.79
getfield aload invokevirtual aload iconst0,2,2,13252.1
getfield iload invokevirtual checkcast invokevirtual,4,2,3844.94
getfield invokevirtual checkcast invokevirtual astore,2,2,10766.4
